name,price,url
"Tecno POP 2F16GB+1GB, 5.5"", 8+5MP Camera, Fingerprint,Black",52.25,https://jumia.com.ng/phones-tablets/tecno-pop-2f16gb1gb-5.5-85mp-camera-fingerprintblack-200407859.html
"Tecno Pop 6 Go, 6.5"" Screen, 1/16GB, 4000MAh  - Grey",58.125,https://jumia.com.ng/phones-tablets/tecno-pop-6-go-6.5-screen-116gb-4000mah-grey-199549606.html
"Tecno Spark 8P 128+4GB, 6.6"" FHD+,50MP Triple Camera,5000mAh Green",113.875,https://jumia.com.ng/phones-tablets/tecno-spark-8p-1284gb-6.6-fhd50mp-triple-camera5000mah-green-199764859.html
"Samsung Galaxy A04s, 4GB/64GB Memory - Copper",118.75,https://jumia.com.ng/phones-tablets/samsung-galaxy-a04s-4gb64gb-memory-copper-201531059.html
"Samsung Galaxy A13, 4GB/128GB Memory - Black",185.875,https://jumia.com.ng/phones-tablets/samsung-galaxy-a13-4gb128gb-memory-black-126331724.html
"Tecno Camon 18i, 4GB/128GB Memory - Blue",110.0,https://jumia.com.ng/phones-tablets/tecno-camon-18i-4gb128gb-memory-blue-150592374.html
"XIAOMI Redmi 9A, 2/32GB Memory, Android 10 - Granite Grey",70.0,https://jumia.com.ng/phones-tablets/xiaomi-redmi-9a-232gb-memory-android-10-granite-grey-193769651.html
"Tecno Pop5 Go(BD1), Android 11 16GB/1GB - Aether Black",53.625,https://jumia.com.ng/phones-tablets/tecno-pop5-gobd1-android-11-16gb1gb-aether-black-199665918.html
"XIAOMI A1 Plus, 2GB/32GB Memory - Black",68.75,https://jumia.com.ng/phones-tablets/xiaomi-a1-plus-2gb32gb-memory-black-199824640.html
"UMIDIGI A13S (4GB,64GB ROM) 6.7"" HD+ 5150mAh Global Version (16MP+8MP+5MP)+8MP-Galaxy Blue",87.375,https://jumia.com.ng/phones-tablets/umidigi-a13s-4gb64gb-rom-6.7-hd-5150mah-global-version-16mp8mp5mp8mp-galaxy-blue-109374936.html
"Tecno Camon 18i,128+4GB, 6.6"" 48MP+8MP Camera, 5000mAh,Grey",131.5,https://jumia.com.ng/phones-tablets/tecno-camon-18i1284gb-6.6-48mp8mp-camera-5000mahgrey-200388753.html
"Infinix Hot 11S, 6.7"" IPS LCD Screen, 4GB/64GB Memory, 50MP Triple Camera, 5000 mAh Battery, Android 11 - Green Wave",106.25,https://jumia.com.ng/phones-tablets/infinix-hot-11s-6.7-ips-lcd-screen-4gb64gb-memory-50mp-triple-camera-5000-mah-battery-android-11-green-wave-114778541.html
"XIAOMI Poco C40, 4GB/64GB, 6000 MAh - Poco Yellow",111.525,https://jumia.com.ng/phones-tablets/xiaomi-poco-c40-4gb64gb-6000-mah-poco-yellow-161521015.html
"UMIDIGI G1 (2GB,32GB ROM) 6.52"" HD+ 5150mAh Android Smartphone Unlocked (13MP+2MP)+13MP-Sunglow Gold",60.625,https://jumia.com.ng/phones-tablets/umidigi-g1-2gb32gb-rom-6.52-hd-5150mah-android-smartphone-unlocked-13mp2mp13mp-sunglow-gold-142338743.html
"UMIDIGI A13 Pro (4GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold",108.62125,https://jumia.com.ng/phones-tablets/umidigi-a13-pro-4gb128gb-rom-5150mah-nfc-48mp8mp5mp16mp-sunglow-gold-108022851.html
Blackview FS-Android Smartphone Oscal C20 Dual-SIM 3G 1+32GB 6.088 Inch Screen -Black,56.125,https://jumia.com.ng/phones-tablets/blackview-fs-android-smartphone-oscal-c20-dual-sim-3g-132gb-6.088-inch-screen-black-82048327.html
"Samsung Galaxy A13, 4GB/64GB Memory, Android 12 - Black",147.5,https://jumia.com.ng/phones-tablets/samsung-galaxy-a13-4gb64gb-memory-android-12-black-159343755.html
"QUBO X668-6.53"" HD+,(4GB,64GB ROM),4900mAh-13MP/8MP Android 11,4G",85.125,https://jumia.com.ng/phones-tablets/qubo-x668-6.53-hd4gb64gb-rom4900mah-13mp8mp-android-114g-79554658.html
"UMIDIGI A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Frost Grey",87.375,https://jumia.com.ng/phones-tablets/umidigi-a11-3gb64gb-rom-android-11-infrared-temperature-sensor-2.0-16mp8mp5mp8mp-5150mah-6.53-global-version-frost-grey-76711638.html
"itel A33 Plus 5.0"" Screen, 32GB ROM + 1GB RAM, 3020mAh",49.987500000000004,https://jumia.com.ng/phones-tablets/itel-a33-plus-5.0-screen-32gb-rom-1gb-ram-3020mah-86786833.html
"QUBO Big1 Plus - 2GB/32GB,4500mAh, 6.26"",8MP Camera,Smartphone",50.125,https://jumia.com.ng/phones-tablets/qubo-big1-plus-2gb32gb4500mah-6.268mp-camerasmartphone-95092786.html
"Tecno POVA Neo (LE6) 6.8"" HD+, 4GB RAM + 64GB ROM, 6000mAh Battery, 18W Charge, 13MP + 8MP Camera, Android 11, 4G LTE - Black",128.4375,https://jumia.com.ng/phones-tablets/tecno-pova-neo-le6-6.8-hd-4gb-ram-64gb-rom-6000mah-battery-18w-charge-13mp-8mp-camera-android-11-4g-lte-black-92402560.html
